loss,flow_output_loss,pose_output_loss,val_loss,val_flow_output_loss,val_pose_output_loss,lr
2.6399173736572266,0.001176188001409173,2.6393299102783203,1.4329886436462402,0.00034117428003810346,1.4328181743621826,1e-04
2.235764503479004,0.00025577557971701026,2.2356362342834473,2.1891977787017822,0.0001371836115140468,2.189129114151001,1e-04
2.29953932762146,0.0003973112325184047,2.2993409633636475,1.2742815017700195,0.00018567490042187274,1.2741886377334595,1e-04
2.0936009883880615,9.544143540551886e-05,2.093552827835083,1.0646357536315918,5.830090958625078e-05,1.0646066665649414,1e-04
1.8613773584365845,6.13258671364747e-05,1.8613470792770386,1.165912389755249,5.1677372539415956e-05,1.165886640548706,1e-04
1.8306283950805664,4.419221659190953e-05,1.8306063413619995,1.463365077972412,2.7284146199235693e-05,1.4633514881134033,1e-04
1.7985601425170898,4.024325608043e-05,1.7985399961471558,1.4672939777374268,6.0124468291178346e-05,1.46726393699646,1e-04
1.769580364227295,7.159463712014258e-05,1.7695447206497192,14.385934829711914,9.206672257278115e-05,14.385889053344727,1e-04
1.7762733697891235,6.972227856749669e-05,1.7762389183044434,4.6771464347839355,5.7220000599045306e-05,4.677117824554443,1e-04
1.7213060855865479,4.9704238335834816e-05,1.7212811708450317,1.3520917892456055,3.4571341529954225e-05,1.3520745038986206,5e-05
1.668189525604248,3.1889958336250857e-05,1.6681735515594482,4.2322845458984375,4.4066266127629206e-05,4.23226261138916,5e-05
1.5087937116622925,4.145445200265385e-05,1.508772850036621,1.4096285104751587,3.247040876885876e-05,1.4096124172210693,5e-05
1.523645281791687,3.464627297944389e-05,1.5236282348632812,1.1835768222808838,3.4130047424696386e-05,1.1835596561431885,5e-05
1.572723388671875,3.0426679586526006e-05,1.5727078914642334,2.1306471824645996,2.763398879324086e-05,2.130633592605591,5e-05
